"","Id","Name","Year","Gender","Count"
"30",30,"Rose",1880,"F",700
"31",31,"Catherine",1880,"F",688
"159",159,"Sophie",1880,"F",83
"458",458,"June",1880,"F",14
"1603",1603,"June",1880,"M",9
"1738",1738,"Rose",1880,"M",7
"2031",2031,"Rose",1881,"F",734
"2040",2040,"Catherine",1881,"F",635
"2171",2171,"Sophie",1881,"F",78
"2423",2423,"June",1881,"F",16
"3513",3513,"June",1881,"M",10
"3963",3963,"Rose",1882,"F",886
"3977",3977,"Catherine",1882,"F",726
"4090",4090,"Sophie",1882,"F",110
"4319",4319,"June",1882,"F",22
"5525",5525,"June",1882,"M",12
"6095",6095,"Rose",1883,"F",877
"6098",6098,"Catherine",1883,"F",853
"6226",6226,"Sophie",1883,"F",103
"6443",6443,"June",1883,"F",24
"7962",7962,"June",1883,"M",6
"8133",8133,"Rose",1883,"M",5
"8176",8176,"Rose",1884,"F",1060
"8189",8189,"Catherine",1884,"F",874
"8309",8309,"Sophie",1884,"F",120
"8440",8440,"June",1884,"F",43
"9957",9957,"June",1884,"M",10
"10102",10102,"Catherine",1884,"M",7
"10415",10415,"Rose",1884,"M",5
"10468",10468,"Rose",1885,"F",1164
"10488",10488,"Catherine",1885,"F",846
"10608",10608,"Sophie",1885,"F",125
"10788",10788,"June",1885,"F",34
"12328",12328,"Rose",1885,"M",9
"12376",12376,"June",1885,"M",8
"12763",12763,"Rose",1886,"F",1261
"12782",12782,"Catherine",1886,"F",916
"12889",12889,"Sophie",1886,"F",156
"13110",13110,"June",1886,"F",33
"14606",14606,"June",1886,"M",11
"14964",14964,"Rose",1886,"M",6
"15159",15159,"Rose",1887,"F",1242
"15173",15173,"Catherine",1887,"F",967
"15295",15295,"Sophie",1887,"F",149
"15583",15583,"June",1887,"F",25
"16967",16967,"June",1887,"M",12
"17332",17332,"Rose",1887,"M",6
"17388",17388,"Catherine",1887,"M",5
"17529",17529,"Rose",1888,"F",1590
"17544",17544,"Catherine",1888,"F",1212
"17671",17671,"Sophie",1888,"F",171
"17843",17843,"June",1888,"F",50
"19650",19650,"June",1888,"M",10
"19722",19722,"Rose",1888,"M",9
"19917",19917,"Catherine",1888,"M",6
"20179",20179,"Rose",1889,"F",1550
"20195",20195,"Catherine",1889,"F",1198
"20325",20325,"Sophie",1889,"F",172
"20492",20492,"June",1889,"F",54
"22252",22252,"Rose",1889,"M",11
"22482",22482,"June",1889,"M",7
"22768",22768,"Rose",1890,"F",1725
"22787",22787,"Catherine",1890,"F",1232
"22911",22911,"Sophie",1890,"F",206
"23062",23062,"June",1890,"F",63
"25062",25062,"June",1890,"M",8
"25078",25078,"Rose",1890,"M",8
"25460",25460,"Rose",1891,"F",1696
"25479",25479,"Catherine",1891,"F",1219
"25604",25604,"Sophie",1891,"F",203
"25742",25742,"June",1891,"F",68
"27644",27644,"June",1891,"M",9
"27835",27835,"Catherine",1891,"M",6
"28070",28070,"Rose",1891,"M",5
"28120",28120,"Rose",1892,"F",2023
"28140",28140,"Catherine",1892,"F",1334
"28276",28276,"Sophie",1892,"F",203
"28452",28452,"June",1892,"F",56
"30276",30276,"Rose",1892,"M",16
"30477",30477,"June",1892,"M",10
"31042",31042,"Rose",1893,"F",2012
"31061",31061,"Catherine",1893,"F",1335
"31182",31182,"Sophie",1893,"F",235
"31361",31361,"June",1893,"F",62
"33193",33193,"June",1893,"M",14
"33490",33490,"Rose",1893,"M",8
"33737",33737,"Catherine",1893,"M",5
"33872",33872,"Rose",1894,"F",2126
"33891",33891,"Catherine",1894,"F",1430
"34023",34023,"Sophie",1894,"F",234
"34172",34172,"June",1894,"F",76
"36205",36205,"June",1894,"M",11
"36608",36608,"Rose",1894,"M",6
"36812",36812,"Rose",1895,"F",2262
"36829",36829,"Catherine",1895,"F",1514
"36964",36964,"Sophie",1895,"F",240
"37117",37117,"June",1895,"F",77
"39324",39324,"June",1895,"M",10
"39457",39457,"Rose",1895,"M",8
"39860",39860,"Rose",1896,"F",2341
"39880",39880,"Catherine",1896,"F",1594
"40012",40012,"Sophie",1896,"F",258
"40162",40162,"June",1896,"F",82
"42236",42236,"June",1896,"M",14
"42433",42433,"Rose",1896,"M",10
"42950",42950,"Rose",1897,"F",2316
"42973",42973,"Catherine",1897,"F",1511
"43082",43082,"Sophie",1897,"F",308
"43236",43236,"June",1897,"F",91
"45359",45359,"June",1897,"M",12
"45372",45372,"Rose",1897,"M",12
"45979",45979,"Rose",1898,"F",2436
"46000",46000,"Catherine",1898,"F",1705
"46141",46141,"Sophie",1898,"F",259
"46240",46240,"June",1898,"F",118
"48490",48490,"June",1898,"M",15
"48811",48811,"Rose",1898,"M",8
"49085",49085,"Catherine",1898,"M",5
"49244",49244,"Rose",1899,"F",2197
"49259",49259,"Catherine",1899,"F",1628
"49386",49386,"Sophie",1899,"F",278
"49526",49526,"June",1899,"F",95
"51641",51641,"Rose",1899,"M",13
"51893",51893,"June",1899,"M",8
"52140",52140,"Catherine",1899,"M",5
"52283",52283,"Rose",1900,"F",2845
"52299",52299,"Catherine",1900,"F",2081
"52428",52428,"Sophie",1900,"F",338
"52556",52556,"June",1900,"F",126
"55318",55318,"Rose",1900,"M",11
"55432",55432,"June",1900,"M",9
"55838",55838,"Catherine",1900,"M",5
"56016",56016,"Rose",1901,"F",2212
"56034",56034,"Catherine",1901,"F",1599
"56149",56149,"Sophie",1901,"F",324
"56275",56275,"June",1901,"F",113
"58560",58560,"June",1901,"M",12
"58784",58784,"Rose",1901,"M",8
"59016",59016,"Catherine",1901,"M",5
"59169",59169,"Rose",1902,"F",2444
"59180",59180,"Catherine",1902,"F",1896
"59320",59320,"Sophie",1902,"F",279
"59427",59427,"June",1902,"F",128
"62196",62196,"Rose",1902,"M",7
"62276",62276,"June",1902,"M",6
"62529",62529,"Rose",1903,"F",2478
"62543",62543,"Catherine",1903,"F",1916
"62670",62670,"Sophie",1903,"F",311
"62769",62769,"June",1903,"F",143
"65186",65186,"Rose",1903,"M",15
"65271",65271,"June",1903,"M",12
"65918",65918,"Rose",1904,"F",2631
"65931",65931,"Catherine",1904,"F",1983
"66050",66050,"Sophie",1904,"F",359
"66173",66173,"June",1904,"F",133
"68869",68869,"Rose",1904,"M",10
"68886",68886,"Catherine",1904,"M",9
"68913",68913,"June",1904,"M",9
"69479",69479,"Rose",1905,"F",2724
"69489",69489,"Catherine",1905,"F",2198
"69614",69614,"Sophie",1905,"F",374
"69733",69733,"June",1905,"F",148
"72284",72284,"Rose",1905,"M",17
"72734",72734,"June",1905,"M",7
"73134",73134,"Rose",1906,"F",2901
"73143",73143,"Catherine",1906,"F",2230
"73273",73273,"Sophie",1906,"F",384
"73386",73386,"June",1906,"F",153
"75877",75877,"Rose",1906,"M",19
"76227",76227,"June",1906,"M",9
"76363",76363,"Catherine",1906,"M",7
"76767",76767,"Rose",1907,"F",3116
"76775",76775,"Catherine",1907,"F",2457
"76896",76896,"Sophie",1907,"F",451
"76993",76993,"June",1907,"F",193
"79633",79633,"Rose",1907,"M",24
"79944",79944,"June",1907,"M",12
"80265",80265,"Catherine",1907,"M",7
"80670",80670,"Sophie",1907,"M",5
"80714",80714,"Rose",1908,"F",3382
"80720",80720,"Catherine",1908,"F",2750
"80831",80831,"Sophie",1908,"F",523
"80934",80934,"June",1908,"F",206
"83668",83668,"Rose",1908,"M",23
"83803",83803,"June",1908,"M",16
"84025",84025,"Catherine",1908,"M",10
"84733",84733,"Rose",1909,"F",3374
"84739",84739,"Catherine",1909,"F",2897
"84860",84860,"Sophie",1909,"F",496
"84958",84958,"June",1909,"F",213
"87819",87819,"Rose",1909,"M",23
"87930",87930,"June",1909,"M",17
"88434",88434,"Catherine",1909,"M",7
"88959",88959,"Rose",1910,"F",3837
"88965",88965,"Catherine",1910,"F",3161
"89076",89076,"Sophie",1910,"F",621
"89161",89161,"June",1910,"F",295
"92511",92511,"Rose",1910,"M",16
"92694",92694,"June",1910,"M",12
"92788",92788,"Catherine",1910,"M",10
"93586",93586,"Rose",1911,"F",4150
"93592",93592,"Catherine",1911,"F",3565
"93697",93697,"Sophie",1911,"F",671
"93808",93808,"June",1911,"F",278
"97125",97125,"Rose",1911,"M",22
"97490",97490,"Catherine",1911,"M",11
"97779",97779,"June",1911,"M",8
"98454",98454,"Rose",1912,"F",5431
"98460",98460,"Catherine",1912,"F",4666
"98556",98556,"Sophie",1912,"F",989
"98644",98644,"June",1912,"F",467
"102789",102789,"June",1912,"M",25
"103222",103222,"Rose",1912,"M",14
"103424",103424,"Catherine",1912,"M",11
"104804",104804,"Rose",1913,"F",6170
"104812",104812,"Catherine",1913,"F",5302
"104903",104903,"Sophie",1913,"F",1122
"104953",104953,"June",1913,"F",710
"109455",109455,"June",1913,"M",27
"109803",109803,"Rose",1913,"M",17
"110094",110094,"Catherine",1913,"M",12
"111772",111772,"Rose",1914,"F",7573
"111775",111775,"Catherine",1914,"F",6612
"111857",111857,"Sophie",1914,"F",1584
"111889",111889,"June",1914,"F",1148
"116760",116760,"June",1914,"M",44
"116857",116857,"Rose",1914,"M",38
"117311",117311,"Catherine",1914,"M",20
"119182",119182,"Sophie",1914,"M",6
"119736",119736,"Rose",1915,"F",9375
"119739",119739,"Catherine",1915,"F",8180
"119816",119816,"June",1915,"F",2139
"119817",119817,"Sophie",1915,"F",2112
"125608",125608,"June",1915,"M",46
"126136",126136,"Rose",1915,"M",23
"126578",126578,"Catherine",1915,"M",15
"129093",129093,"Rose",1916,"F",9605
"129098",129098,"Catherine",1916,"F",8470
"129164",129164,"June",1916,"F",2840
"129179",129179,"Sophie",1916,"F",2198
"134968",134968,"June",1916,"M",69
"135296",135296,"Rose",1916,"M",38
"135705",135705,"Catherine",1916,"M",23
"137707",137707,"Sophie",1916,"M",7
"138790",138790,"Rose",1917,"F",9784
"138792",138792,"Catherine",1917,"F",8689
"138847",138847,"June",1917,"F",3370
"138874",138874,"Sophie",1917,"F",2382
"144939",144939,"June",1917,"M",57
"145179",145179,"Rose",1917,"M",38
"146003",146003,"Catherine",1917,"M",16
"147591",147591,"Sophie",1917,"M",7
"148706",148706,"Rose",1918,"F",9569
"148709",148709,"Catherine",1918,"F",8842
"148755",148755,"June",1918,"F",4034
"148797",148797,"Sophie",1918,"F",2300
"155000",155000,"June",1918,"M",78
"155464",155464,"Rose",1918,"M",35
"156696",156696,"Catherine",1918,"M",12
"157607",157607,"Sophie",1918,"M",8
"159108",159108,"Rose",1919,"F",9193
"159112",159112,"Catherine",1919,"F",8334
"159153",159153,"June",1919,"F",3963
"159198",159198,"Sophie",1919,"F",2200
"165407",165407,"June",1919,"M",73
"165875",165875,"Rose",1919,"M",34
"166539",166539,"Catherine",1919,"M",17
"169479",169479,"Rose",1920,"F",9011
"169480",169480,"Catherine",1920,"F",8877
"169512",169512,"June",1920,"F",4912
"169588",169588,"Sophie",1920,"F",1965
"176002",176002,"June",1920,"M",73
"176809",176809,"Rose",1920,"M",24
"177054",177054,"Catherine",1920,"M",19
"180119",180119,"Sophie",1920,"M",5
"180235",180235,"Rose",1921,"F",9350
"180238",180238,"Catherine",1921,"F",8889
"180265",180265,"June",1921,"F",5155
"180351",180351,"Sophie",1921,"F",1864
"186862",186862,"June",1921,"M",75
"187971",187971,"Rose",1921,"M",19
"188078",188078,"Catherine",1921,"M",17
"189903",189903,"Sophie",1921,"M",7
"191094",191094,"Rose",1922,"F",8792
"191095",191095,"Catherine",1922,"F",8535
"191116",191116,"June",1922,"F",5383
"191224",191224,"Sophie",1922,"F",1581
"197554",197554,"June",1922,"M",89
"198017",198017,"Rose",1922,"M",39
"198515",198515,"Catherine",1922,"M",22
"201729",201729,"Sophie",1922,"M",5
"201851",201851,"Rose",1923,"F",8441
"201852",201852,"Catherine",1923,"F",8440
"201871",201871,"June",1923,"F",5810
"201987",201987,"Sophie",1923,"F",1490
"208277",208277,"June",1923,"M",84
"208882",208882,"Rose",1923,"M",31
"209215",209215,"Catherine",1923,"M",22
"212496",212496,"Rose",1924,"F",8480
"212498",212498,"Catherine",1924,"F",8360
"212516",212516,"June",1924,"F",6151
"212641",212641,"Sophie",1924,"F",1371
"219120",219120,"June",1924,"M",79
"219788",219788,"Catherine",1924,"M",28
"219894",219894,"Rose",1924,"M",26
"222653",222653,"Sophie",1924,"M",6
"223364",223364,"Rose",1925,"F",8279
"223367",223367,"Catherine",1925,"F",7870
"223377",223377,"June",1925,"F",6648
"223528",223528,"Sophie",1925,"F",1102
"229883",229883,"June",1925,"M",74
"230331",230331,"Rose",1925,"M",35
"230924",230924,"Catherine",1925,"M",19
"234005",234005,"Rose",1926,"F",8512
"234011",234011,"Catherine",1926,"F",7465
"234020",234020,"June",1926,"F",6075
"234183",234183,"Sophie",1926,"F",952
"240391",240391,"June",1926,"M",69
"240631",240631,"Rose",1926,"M",46
"240959",240959,"Catherine",1926,"M",29
"244464",244464,"Rose",1927,"F",8493
"244472",244472,"Catherine",1927,"F",7257
"244484",244484,"June",1927,"F",5735
"244656",244656,"Sophie",1927,"F",883
"250821",250821,"June",1927,"M",72
"251083",251083,"Rose",1927,"M",46
"251275",251275,"Catherine",1927,"M",35
"254201",254201,"Sophie",1927,"M",6
"254872",254872,"Rose",1928,"F",8159
"254881",254881,"Catherine",1928,"F",6908
"254892",254892,"June",1928,"F",5520
"255083",255083,"Sophie",1928,"F",708
"261004",261004,"June",1928,"M",79
"261374",261374,"Rose",1928,"M",42
"261380",261380,"Catherine",1928,"M",41
"265034",265034,"Rose",1929,"F",7786
"265042",265042,"Catherine",1929,"F",6275
"265056",265056,"June",1929,"F",5091
"265259",265259,"Sophie",1929,"F",632
"271055",271055,"June",1929,"M",69
"271220",271220,"Rose",1929,"M",52
"271811",271811,"Catherine",1929,"M",23
"274852",274852,"Rose",1930,"F",7693
"274858",274858,"Catherine",1930,"F",6300
"274870",274870,"June",1930,"F",5093
"275110",275110,"Sophie",1930,"F",524
"280779",280779,"June",1930,"M",78
"280910",280910,"Rose",1930,"M",61
"281330",281330,"Catherine",1930,"M",32
"284017",284017,"Sophie",1930,"M",6
"284642",284642,"Rose",1931,"F",6874
"284648",284648,"Catherine",1931,"F",5641
"284656",284656,"June",1931,"F",5000
"284922",284922,"Sophie",1931,"F",425
"290394",290394,"June",1931,"M",61
"290690",290690,"Catherine",1931,"M",38
"290823",290823,"Rose",1931,"M",32
"293935",293935,"Rose",1932,"F",6469
"293941",293941,"Catherine",1932,"F",5444
"293946",293946,"June",1932,"F",4842
"294228",294228,"Sophie",1932,"F",378
"299791",299791,"June",1932,"M",65
"300024",300024,"Rose",1932,"M",43
"300260",300260,"Catherine",1932,"M",29
"303319",303319,"Rose",1933,"F",5767
"303328",303328,"Catherine",1933,"F",4909
"303329",303329,"June",1933,"F",4678
"303651",303651,"Sophie",1933,"F",300
"308912",308912,"June",1933,"M",63
"309117",309117,"Rose",1933,"M",43
"309740",309740,"Catherine",1933,"M",19
"312332",312332,"Rose",1934,"F",5580
"312337",312337,"Catherine",1934,"F",4936
"312341",312341,"June",1934,"F",4385
"312699",312699,"Sophie",1934,"F",262
"318054",318054,"June",1934,"M",62
"318203",318203,"Rose",1934,"M",46
"318828",318828,"Catherine",1934,"M",20
"321512",321512,"Rose",1935,"F",5230
"321517",321517,"Catherine",1935,"F",4698
"321530",321530,"June",1935,"F",3838
"321887",321887,"Sophie",1935,"F",250
"327325",327325,"June",1935,"M",44
"327553",327553,"Rose",1935,"M",32
"328029",328029,"Catherine",1935,"M",18
"330544",330544,"Rose",1936,"F",5698
"330551",330551,"Catherine",1936,"F",4535
"330569",330569,"June",1936,"F",3518
"330962",330962,"Sophie",1936,"F",198
"336241",336241,"June",1936,"M",49
"336525",336525,"Rose",1936,"M",33
"336662",336662,"Catherine",1936,"M",26
"339440",339440,"Rose",1937,"F",5448
"339449",339449,"Catherine",1937,"F",4458
"339473",339473,"June",1937,"F",3379
"339862",339862,"Sophie",1937,"F",204
"345178",345178,"June",1937,"M",52
"345309",345309,"Rose",1937,"M",42
"345741",345741,"Catherine",1937,"M",23
"348386",348386,"Rose",1938,"F",5289
"348395",348395,"Catherine",1938,"F",4525
"348426",348426,"June",1938,"F",3142
"348848",348848,"Sophie",1938,"F",178
"354325",354325,"June",1938,"M",42
"354414",354414,"Rose",1938,"M",37
"354866",354866,"Catherine",1938,"M",20
"357418",357418,"Rose",1939,"F",5040
"357425",357425,"Catherine",1939,"F",4576
"357459",357459,"June",1939,"F",2863
"357921",357921,"Sophie",1939,"F",151
"363267",363267,"June",1939,"M",45
"363343",363343,"Rose",1939,"M",40
"363975",363975,"Catherine",1939,"M",17
"366339",366339,"Rose",1940,"F",5197
"366348",366348,"Catherine",1940,"F",4581
"366377",366377,"June",1940,"F",2948
"366823",366823,"Sophie",1940,"F",169
"372403",372403,"June",1940,"M",37
"372521",372521,"Rose",1940,"M",32
"373009",373009,"Catherine",1940,"M",17
"375305",375305,"Rose",1941,"F",4947
"375307",375307,"Catherine",1941,"F",4884
"375346",375346,"June",1941,"F",2766
"375788",375788,"Sophie",1941,"F",174
"381423",381423,"June",1941,"M",37
"381433",381433,"Rose",1941,"M",37
"381985",381985,"Catherine",1941,"M",18
"384389",384389,"Catherine",1942,"F",5266
"384390",384390,"Rose",1942,"F",5251
"384447",384447,"June",1942,"F",2608
"384965",384965,"Sophie",1942,"F",144
"390819",390819,"June",1942,"M",39
"391082",391082,"Catherine",1942,"M",26
"391245",391245,"Rose",1942,"M",22
"393812",393812,"Catherine",1943,"F",5425
"393814",393814,"Rose",1943,"F",5209
"393875",393875,"June",1943,"F",2493
"394468",394468,"Sophie",1943,"F",119
"400306",400306,"June",1943,"M",34
"400406",400406,"Rose",1943,"M",30
"400564",400564,"Catherine",1943,"M",24
"403219",403219,"Catherine",1944,"F",5257
"403222",403222,"Rose",1944,"F",4708
"403291",403291,"June",1944,"F",2202
"403927",403927,"Sophie",1944,"F",103
"410021",410021,"June",1944,"M",19
"410163",410163,"Catherine",1944,"M",16
"410479",410479,"Rose",1944,"M",13
"412374",412374,"Catherine",1945,"F",5031
"412378",412378,"Rose",1945,"F",4557
"412445",412445,"June",1945,"F",2070
"413076",413076,"Sophie",1945,"F",100
"418880",418880,"June",1945,"M",26
"419155",419155,"Catherine",1945,"M",18
"419248",419248,"Rose",1945,"M",17
"421397",421397,"Catherine",1946,"F",6366
"421409",421409,"Rose",1946,"F",5179
"421465",421465,"June",1946,"F",2562
"422134",422134,"Sophie",1946,"F",111
"428381",428381,"June",1946,"M",28
"428997",428997,"Catherine",1946,"M",14
"429701",429701,"Rose",1946,"M",9
